|11-09-2017 16:38:08:689 | 
|11-09-2017 16:38:08:690 |  ***** login (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-09-2017 16:43:24:082 |  PASS TS_01 login MyVehicles CHROME
|11-09-2017 16:43:24:087 | 
|11-09-2017 16:43:24:088 |  ***** changeNickname (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-09-2017 16:46:48:943 | 
|11-09-2017 16:46:48:944 |  ***** login (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-09-2017 16:49:27:459 | 
|11-09-2017 16:49:27:460 |  ***** login (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-09-2017 16:50:54:322 |  PASS TS_01 login MyVehicles CHROME
|11-09-2017 16:50:54:325 | 
|11-09-2017 16:50:54:326 |  ***** changeNickname (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-09-2017 16:55:38:866 | 
|11-09-2017 16:55:38:867 |  ***** login (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-09-2017 16:57:23:829 |  PASS TS_01 login MyVehicles CHROME
|11-09-2017 16:57:23:833 | 
|11-09-2017 16:57:23:833 |  ***** changeNickname (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-09-2017 17:00:46:574 | 
|11-09-2017 17:00:46:575 |  ***** login (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-09-2017 17:01:27:117 |  PASS TS_01 login MyVehicles CHROME
|11-09-2017 17:01:27:120 | 
|11-09-2017 17:01:27:121 |  ***** changeNickname (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-09-2017 17:02:07:720 |  FAIL TC_001 changeNickname MyVehicles CHROME
|11-10-2017 09:18:40:737 | 
|11-10-2017 09:18:40:738 |  ***** login (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 09:20:11:659 |  PASS TS_01 login MyVehicles CHROME
|11-10-2017 09:20:11:663 | 
|11-10-2017 09:20:11:663 |  ***** changeNickname (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 09:20:52:063 |  FAIL TC_001 changeNickname MyVehicles CHROME
|11-10-2017 09:35:09:381 | 
|11-10-2017 09:35:09:382 |  ***** login (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 09:36:39:781 |  PASS TS_01 login MyVehicles CHROME
|11-10-2017 09:36:39:786 | 
|11-10-2017 09:36:39:786 |  ***** changeNickname (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 09:36:40:368 |  PASS TC_001 changeNickname MyVehicles CHROME
|11-10-2017 09:42:21:823 | 
|11-10-2017 09:42:21:824 |  ***** login (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 09:42:44:201 |  PASS TS_01 login MyVehicles CHROME
|11-10-2017 09:42:44:205 | 
|11-10-2017 09:42:44:206 |  ***** changeNickname (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 09:44:32:609 | 
|11-10-2017 09:44:32:610 |  ***** login (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 09:46:15:922 |  PASS TS_01 login MyVehicles CHROME
|11-10-2017 09:46:15:926 | 
|11-10-2017 09:46:15:926 |  ***** changeNickname (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 09:52:12:590 | 
|11-10-2017 09:52:12:591 |  ***** login (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 09:53:55:739 |  PASS TS_01 login MyVehicles CHROME
|11-10-2017 09:54:25:174 | 
|11-10-2017 09:54:25:175 |  ***** login (com.rsi.kma.automation.testScripts.Regression.Overview) STARTS ***** 
|11-10-2017 09:54:25:201 |  FAIL TS_01 login Overview CHROME
|11-10-2017 09:54:25:213 | 
|11-10-2017 09:54:25:213 |  ***** changeNickname (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 09:54:25:232 |  FAIL TC_001 changeNickname MyVehicles CHROME
|11-10-2017 09:58:20:972 | 
|11-10-2017 09:58:20:973 |  ***** login (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 09:59:47:143 |  PASS TS_01 login MyVehicles CHROME
|11-10-2017 10:02:37:868 | 
|11-10-2017 10:02:37:869 |  ***** login (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 10:04:05:611 |  PASS TS_01 login MyVehicles CHROME
|11-10-2017 10:04:05:660 | 
|11-10-2017 10:04:05:661 |  ***** login (com.rsi.kma.automation.testScripts.Regression.Overview) STARTS ***** 
|11-10-2017 11:01:43:966 | 
|11-10-2017 11:01:43:967 |  ***** loginMyVehicles (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 11:02:58:909 |  PASS TS_01 loginMyVehicles MyVehicles CHROME
|11-10-2017 11:02:58:949 | 
|11-10-2017 11:02:58:949 |  ***** loginOverview (com.rsi.kma.automation.testScripts.Regression.Overview) STARTS ***** 
|11-10-2017 11:03:39:500 |  FAIL TS_01 loginOverview Overview CHROME
|11-10-2017 11:06:14:035 | 
|11-10-2017 11:06:14:036 |  ***** loginMyVehicles (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 11:07:42:869 |  PASS TS_01 loginMyVehicles MyVehicles CHROME
|11-10-2017 11:07:42:873 | 
|11-10-2017 11:07:42:873 |  ***** changeNickname (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
|11-10-2017 11:08:23:803 |  FAIL TC_001 changeNickname MyVehicles CHROME
|11-10-2017 11:08:24:810 | 
|11-10-2017 11:08:24:810 |  ***** loginOverview (com.rsi.kma.automation.testScripts.Regression.Overview) STARTS ***** 
|11-10-2017 11:08:24:816 |  FAIL TS_01 loginOverview Overview CHROME
|11-10-2017 11:12:05:111 | 
|11-10-2017 11:12:05:112 |  ***** loginMyVehicles (com.rsi.kma.automation.testScripts.Regression.MyVehicles) STARTS ***** 
